,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move_Pos
306,0,0,0,0,0,0,1,0,0,0
307,2,0,0,0,0,0,1,0,0,2
308,2,0,1,0,0,0,1,0,0,4
309,2,0,1,0,2,0,1,0,0,8
310,2,0,1,0,2,0,1,0,1,7
311,2,0,1,0,2,0,1,2,1,1
312,2,1,1,0,2,0,1,2,1,5
313,2,1,1,0,2,2,1,2,1,3
314,0,0,0,0,0,0,0,0,0,3
315,0,0,0,1,0,0,0,0,0,0
316,2,0,0,1,0,0,0,0,0,4
317,2,0,0,1,1,0,0,0,0,5
318,2,0,0,1,1,2,0,0,0,2
319,2,0,1,1,1,2,0,0,0,6
320,2,0,1,1,1,2,2,0,0,7
321,2,0,1,1,1,2,2,1,0,1
322,2,2,1,1,1,2,2,1,0,8
323,0,0,0,0,0,0,0,0,0,6
324,0,0,0,0,0,0,1,0,0,0
325,2,0,0,0,0,0,1,0,0,4
326,2,0,0,0,1,0,1,0,0,2
327,2,0,2,0,1,0,1,0,0,1
328,2,1,2,0,1,0,1,0,0,7
329,2,1,2,0,1,0,1,2,0,3
330,2,1,2,1,1,0,1,2,0,5
331,2,1,2,1,1,2,1,2,0,8
332,0,0,0,0,0,0,0,0,0,4
333,0,0,0,0,1,0,0,0,0,0
334,2,0,0,0,1,0,0,0,0,6
335,2,0,0,0,1,0,1,0,0,2
336,2,0,2,0,1,0,1,0,0,1
337,2,1,2,0,1,0,1,0,0,7
338,2,1,2,0,1,0,1,2,0,3
339,2,1,2,1,1,0,1,2,0,5
340,2,1,2,1,1,2,1,2,0,8
341,0,0,0,0,0,0,0,0,0,0
342,1,0,0,0,0,0,0,0,0,4
343,1,0,0,0,2,0,0,0,0,5
344,1,0,0,0,2,1,0,0,0,6
345,1,0,0,0,2,1,2,0,0,2
346,1,0,1,0,2,1,2,0,0,1
347,1,2,1,0,2,1,2,0,0,7
348,1,2,1,0,2,1,2,1,0,8
349,1,2,1,0,2,1,2,1,2,3
350,0,0,0,0,0,0,0,0,0,0
351,1,0,0,0,0,0,0,0,0,4
352,1,0,0,0,2,0,0,0,0,2
353,1,0,1,0,2,0,0,0,0,1
354,1,2,1,0,2,0,0,0,0,3
355,1,2,1,1,2,0,0,0,0,6
356,1,2,1,1,2,0,2,0,0,7
357,1,2,1,1,2,0,2,1,0,5
358,1,2,1,1,2,2,2,1,0,8
359,0,0,0,0,0,0,0,0,0,4
360,0,0,0,0,1,0,0,0,0,0
361,2,0,0,0,1,0,0,0,0,2
362,2,0,1,0,1,0,0,0,0,6
363,2,0,1,0,1,0,2,0,0,3
364,2,0,1,1,1,0,2,0,0,5
365,2,0,1,1,1,2,2,0,0,1
366,2,1,1,1,1,2,2,0,0,7
367,2,1,1,1,1,2,2,2,0,8
368,0,0,0,0,0,0,0,0,0,0
369,1,0,0,0,0,0,0,0,0,4
370,1,0,0,0,2,0,0,0,0,6
371,1,0,0,0,2,0,1,0,0,3
372,1,0,0,2,2,0,1,0,0,5
373,1,0,0,2,2,1,1,0,0,7
374,1,0,0,2,2,1,1,2,0,1
375,1,1,0,2,2,1,1,2,0,2
376,1,1,2,2,2,1,1,2,0,8
